id,full_name,display_name,abbreviation,successor_to,continent,active,defunct,affiliated,has_members,profile
1,Abkhazia,Abkhazia,ABK,,Europe,0,0,0,0,
2,Afghanistan,Afghanistan,AFG,,Asia,1,0,1,0,
3,Åland Islands,Åland Islands,ALA,,Europe,0,0,0,0,
4,Albania,Albania,ALB,,Europe,1,0,0,0,
5,Algeria,Algeria,ALG,,Africa,1,0,1,0,
6,American Samoa,American Samoa,ASA,,Oceania,1,0,1,0,
7,Andorra,Andorra,AND,,Europe,1,0,1,0,
8,Angola,Angola,ANG,,Africa,1,0,1,0,
9,Anguilla,Anguilla,AGU,,North America,1,0,1,0,
10,Antigua and Barbuda,Antigua and Barbuda,ANT,,North America,1,0,1,0,
11,Argentina,Argentina,ARG,,South America,1,0,1,0,
12,Armenia,Armenia,ARM,,Europe,1,0,1,0,
13,Artsakh,Artsakh,ART,,Europe,0,0,0,0,
14,Aruba,Aruba,ARU,,North America,1,0,1,0,
15,Australia,Australia,AUS,,Asia,1,0,1,0,
16,Austria,Austria,AUT,,Europe,1,0,1,0,
17,Azerbaijan,Azerbaijan,AZE,,Europe,1,0,1,0,
18,Bahamas,Bahamas,BAH,,North America,1,0,1,0,
19,Bahrain,Bahrain,BHR,,Asia,1,0,1,0,
20,Bangladesh,Bangladesh,BAN,,Asia,1,0,1,0,
21,Barbados,Barbados,BAR,,North America,1,0,1,0,
22,Belarus,Belarus,BLR,,Europe,1,0,1,0,
23,Belgium,Belgium,BEL,,Europe,1,0,1,0,
24,Belize,Belize,BIZ,,North America,1,0,1,0,
25,Benin,Benin,BEN,,Africa,1,0,1,0,
26,Bermuda,Bermuda,BER,,North America,1,0,1,0,
27,Bhutan,Bhutan,BHU,,Asia,1,0,1,0,
28,Bolivia,Bolivia,BOL,,South America,1,0,1,0,
29,Bosnia and Herzegovina,Bosnia-Herzegovina,BIH,,Europe,1,0,1,0,
30,Botswana,Botswana,BOT,,Africa,1,0,1,0,
31,Brazil,Brazil,BRA,,South America,1,0,1,0,
32,British Virgin Islands,British Virgin Is.,BVI,,North America,1,0,1,0,
33,Brunei,Brunei,BRU,,Asia,1,0,1,0,
34,Bulgaria,Bulgaria,BUL,,Europe,1,0,1,0,
35,Burkina Faso,Burkina Faso,BFA,,Africa,1,0,1,0,
36,Burundi,Burundi,BDI,,Africa,1,0,1,0,
37,Cambodia,Cambodia,CAM,,Asia,1,0,1,0,
38,Cameroon,Cameroon,CMR,,Africa,1,0,1,0,
39,Canada,Canada,CAN,,North America,1,0,1,0,
40,Cabo Verde,Cabo Verde,CPV,,Africa,1,0,1,0,
41,Cayman Islands,Cayman Islands,CAY,,North America,1,0,1,0,
42,Central African Republic,Central African Rep.,CAR,,Africa,1,0,1,0,
43,Chad,Chad,CHA,,Africa,1,0,1,0,
44,Chile,Chile,CHI,,South America,1,0,1,0,
45,People's Republic of China,China,CHN,,Asia,1,0,1,0,
46,Christmas Island,Christmas Island,CHR,,Asia,0,0,0,0,
47,Cocos (Keeling) Islands,Cocos (Keeling) Is.,COC,,Oceania,0,0,0,0,
48,Colombia,Colombia,COL,,South America,1,0,1,0,
49,Comoros,Comoros,COM,,Africa,1,0,1,0,
50,Democratic Republic of Congo,DR Congo,DRC,,Africa,1,0,1,0,
51,Republic of Congo,Congo,CGO,,Africa,1,0,1,0,
52,Cook Islands,Cook Islands,COK,,Oceania,1,0,1,0,
53,Costa Rica,Costa Rica,CRC,,North America,1,0,1,0,
54,Côte d'Ivoire,Côte d'Ivoire,CIV,,Africa,1,0,1,0,
55,Croatia,Croatia,CRO,,Europe,1,0,1,0,
56,Cuba,Cuba,CUB,,North America,1,0,1,0,
57,Curaçao,Curaçao,CUR,,North America,1,0,1,0,
58,Cyprus,Cyprus,CYP,,Europe,1,0,1,0,
59,Czech Republic,Czech Republic,CZE,,Europe,1,0,1,0,
60,Denmark,Denmark,DEN,,Europe,1,0,1,0,
61,Djibouti,Djibouti,DJI,,Africa,1,0,1,0,
62,Dominica,Dominica,DOM,,North America,1,0,1,0,
63,Dominican Republic,Dominican Republic,DMR,,North America,1,0,1,0,
64,Ecuador,Ecuador,ECU,,South America,1,0,1,0,
65,Egypt,Egypt,EGY,,Africa,1,0,1,0,
66,El Salvador,El Salvador,ESA,,North America,1,0,1,0,
67,England,England,ENG,,Europe,1,0,1,0,
68,Equatorial Guinea,Equatorial Guinea,EQG,,Africa,1,0,1,0,
69,Eritrea,Eritrea,ERT,,Africa,1,0,1,0,
70,Estonia,Estonia,EST,,Europe,1,0,1,0,
71,Eswatini,Eswatini,ESW,,Africa,1,0,1,0,
72,Ethiopia,Ethiopia,ETH,,Africa,1,0,1,0,
73,Falkland Islands,Falkland Islands,FAL,,South America,0,0,0,0,
74,Faroe Islands,Faroe Islands,FAR,,Europe,1,0,1,0,
75,Fiji,Fiji,FIJ,,Oceania,1,0,1,0,
76,Finland,Finland,FIN,,Europe,1,0,1,0,
77,France,France,FRA,,Europe,1,0,1,0,
78,French Guiana,French Guiana,FGU,,North America,1,0,1,0,
79,Gabon,Gabon,GAB,,Africa,1,0,1,0,
80,The Gambia,Gambia,GAM,,Africa,1,0,1,0,
81,Georgia,Georgia,GEO,,Europe,1,0,1,0,
82,Germany,Germany,GER,FRG,Europe,1,0,1,0,
83,Ghana,Ghana,GHA,,Africa,1,0,1,0,
84,Gibraltar,Gibraltar,GIB,,Europe,1,0,1,0,
85,Greece,Greece,GRE,,Europe,1,0,1,0,
86,Greenland,Greenland,GRN,,North America,0,0,0,0,
87,Grenada,Grenada,GDA,,North America,1,0,1,0,
88,Guadeloupe,Guadeloupe,GDP,,North America,1,0,1,0,
89,Guam,Guam,GUM,,Asia,1,0,1,0,
90,Guatemala,Guatemala,GUA,,North America,1,0,1,0,
91,Guernsey,Guernsey,GUE,,Europe,0,0,0,0,
92,Guinea,Guinea,GUI,,Africa,1,0,1,0,
93,Guinea-Bissau,Guinea-Bissau,GBI,,Africa,1,0,1,0,
94,Guyana,Guyana,GUY,,North America,1,0,1,0,
95,Haiti,Haiti,HAI,,North America,1,0,1,0,
96,Honduras,Honduras,HON,,North America,1,0,1,0,
97,Hong Kong,Hong Kong,HKG,,Asia,1,0,1,0,
98,Hungary,Hungary,HUN,,Europe,1,0,1,0,
99,Iceland,Iceland,ICE,,Europe,1,0,1,0,
100,India,India,IND,,Asia,1,0,1,0,
101,Indonesia,Indonesia,INO,,Asia,1,0,1,0,
102,Islamic Republic of Iran,Iran,IRN,,Asia,1,0,1,0,
103,Iraq,Iraq,IRQ,,Asia,1,0,1,0,
104,Republic of Ireland,Republic of Ireland,IRL,,Europe,1,0,1,0,
105,Isle of Man,Isle of Man,IOM,,Europe,0,0,0,0,
106,Israel,Israel,ISR,,Europe,1,0,1,0,
107,Italy,Italy,ITA,,Europe,1,0,1,0,
108,Jamaica,Jamaica,JAM,,North America,1,0,1,0,
109,Japan,Japan,JPN,,Asia,1,0,1,0,
110,Jersey,Jersey,JER,,Europe,0,0,0,0,
111,Jordan,Jordan,JOR,,Asia,1,0,1,0,
112,Kazakhstan,Kazakhstan,KAZ,,Europe,1,0,1,0,
113,Kenya,Kenya,KEN,,Africa,1,0,1,0,
114,Kiribati,Kiribati,KIR,,Oceania,1,0,1,0,
115,Democratic People's Republic of Korea,North Korea,PRK,,Asia,1,0,1,0,
116,Republic of Korea,South Korea,KOR,,Asia,1,0,1,0,
117,Kosovo,Kosovo,KOS,,Europe,1,0,1,0,
118,Kuwait,Kuwait,KUW,,Asia,1,0,1,0,
119,Kyrgyzstan,Kyrgyzstan,KYR,,Asia,1,0,1,0,
120,Laos,Laos,LAO,,Asia,1,0,1,0,
121,Latvia,Latvia,LAT,,Europe,1,0,1,0,
122,Lebanon,Lebanon,LEB,,Asia,1,0,1,0,
123,Lesotho,Lesotho,LES,,Africa,1,0,1,0,
124,Liberia,Liberia,LBR,,Africa,1,0,1,0,
125,Libya,Libya,LIB,,Africa,1,0,1,0,
126,Liechtenstein,Liechtenstein,LIE,,Europe,1,0,1,0,
127,Lithuania,Lithuania,LIT,,Europe,1,0,1,0,
128,Luxembourg,Luxembourg,LUX,,Europe,1,0,1,0,
129,Macau,Macao,MCO,,Asia,1,0,1,0,
130,Madagascar,Madagascar,MAD,,Africa,1,0,1,0,
131,Malawi,Malawi,MWI,,Africa,1,0,1,0,
132,Malaysia,Malaysia,MAS,,Asia,1,0,1,0,
133,Maldives,Maldives,MDV,,Asia,1,0,1,0,
134,Mali,Mali,MLI,,Africa,1,0,1,0,
135,Malta,Malta,MLT,,Europe,1,0,1,0,
136,Marshall Islands,Marshall Islands,MAR,,Oceania,0,0,0,0,
137,Martinique,Martinique,MTQ,,North America,1,0,1,0,
138,Mauritania,Mauritania,MAU,,Africa,1,0,1,0,
139,Mauritius,Mauritius,MRT,,Africa,1,0,1,0,
140,Mayotte,Mayotte,MAY,,Africa,0,0,0,0,
141,Mexico,Mexico,MEX,,North America,1,0,1,0,
142,Federated States of Micronesia,Micronesia,MIC,,Oceania,0,0,0,0,
143,Moldova,Moldova,MOL,,Europe,1,0,1,0,
144,Monaco,Monaco,MON,,Europe,0,0,0,0,
145,Mongolia,Mongolia,MNG,,Asia,1,0,1,0,
146,Montenegro,Montenegro,MNE,,Europe,1,0,1,0,
147,Montserrat,Montserrat,MNT,,North America,1,0,1,0,
148,Morocco,Morocco,MOR,,Africa,1,0,1,0,
149,Mozambique,Mozambique,MOZ,,Africa,1,0,1,0,
150,Myanmar,Myanmar,MYA,,Asia,1,0,1,0,
151,Namibia,Namibia,NAM,,Africa,1,0,1,0,
152,Nauru,Nauru,NAU,,Oceania,0,0,0,0,
153,Nepal,Nepal,NEP,,Asia,1,0,1,0,
154,Netherlands,Netherlands,NED,,Europe,1,0,1,0,
155,New Caledonia,New Caledonia,NCA,,Oceania,1,0,1,0,
156,New Zealand,New Zealand,NZL,,Oceania,1,0,1,0,
157,Nicaragua,Nicaragua,NIC,,North America,1,0,1,0,
158,Niger,Niger,NIG,,Africa,1,0,1,0,
159,Nigeria,Nigeria,NGA,,Africa,1,0,1,0,
160,Niue,Niue,NIU,,Oceania,0,0,0,0,
161,Norfolk Island,Norfolk Island,NFK,,Oceania,0,0,0,0,
162,North Macedonia,North Macedonia,NMA,,Europe,1,0,1,0,
163,Northern Cyprus,Northern Cyprus,NCY,,Europe,0,0,0,0,
164,Northern Ireland,Northern Ireland,NIR,,Europe,1,0,1,0,
165,Northern Mariana Islands,Northern Mariana Is.,NMI,,Asia,1,0,1,0,
166,Norway,Norway,NOR,,Europe,1,0,1,0,
167,Oman,Oman,OMN,,Asia,1,0,1,0,
168,Pakistan,Pakistan,PAK,,Asia,1,0,1,0,
169,Palau,Palau,PAL,,Oceania,0,0,0,0,
170,Palestine,Palestine,PLE,,Asia,1,0,1,0,
171,Panama,Panama,PAN,,North America,1,0,1,0,
172,Papua New Guinea,Papua New Guinea,PNG,,Oceania,1,0,1,0,
173,Paraguay,Paraguay,PAR,,South America,1,0,1,0,
174,Peru,Peru,PER,,South America,1,0,1,0,
175,Philippines,Philippines,PHI,,Asia,1,0,1,0,
176,Pitcairn Islands,Pitcairn Islands,PIT,,Oceania,0,0,0,0,
177,Poland,Poland,POL,,Europe,1,0,1,0,
178,Portugal,Portugal,POR,,Europe,1,0,1,0,
179,Puerto Rico,Puerto Rico,PUR,,North America,1,0,1,0,
180,Qatar,Qatar,QAT,,Asia,1,0,1,0,
181,Réunion,Réunion,REU,,Africa,0,0,0,0,
182,Romania,Romania,ROM,,Europe,1,0,1,0,
183,Russia,Russia,RUS,,Europe,1,0,1,0,
184,Rwanda,Rwanda,RWA,,Africa,1,0,1,0,
185,Saint Barthélemy,St Barthélemy,STB,,North America,0,0,0,0,
186,"Saint Helena, Ascension and Tristan da Cunha",St Helena,STH,,Africa,0,0,0,0,
187,Saint Kitts and Nevis,St Kitts and Nevis,SKN,,North America,1,0,1,0,
188,Saint Lucia,St Lucia,STL,,North America,1,0,1,0,
189,Saint Martin,St Martin,SMA,,North America,1,0,1,0,
190,Saint Pierre and Miquelon,St Pierre & Miquelon,SPM,,North America,0,0,0,0,
191,Saint Vincent and the Grenadines,St Vincent & Gren.,SVG,,North America,1,0,1,0,
192,Samoa,Samoa,SAM,,Oceania,1,0,1,0,
193,San Marino,San Marino,SNM,,Europe,1,0,1,0,
194,São Tomé and Príncipe,São Tomé & Príncipe,STP,,Africa,1,0,1,0,
195,Saudi Arabia,Saudi Arabia,KSA,,Asia,1,0,1,0,
196,Scotland,Scotland,SCO,,Europe,1,0,1,0,
197,Senegal,Senegal,SEN,,Africa,1,0,1,0,
198,Serbia,Serbia,SER,,Europe,1,0,1,0,
199,Seychelles,Seychelles,SEY,,Africa,1,0,1,0,
200,Sierra Leone,Sierra Leone,SLE,,Africa,1,0,1,0,
201,Singapore,Singapore,SNG,,Asia,1,0,1,0,
202,Sint Maarten,Sint Maarten,SIM,,North America,1,0,1,0,
203,Slovakia,Slovakia,SVK,,Europe,1,0,1,0,
204,Slovenia,Slovenia,SLO,,Europe,1,0,1,0,
205,Solomon Islands,Solomon Islands,SOL,,Oceania,1,0,1,0,
206,Somalia,Somalia,SOM,,Africa,1,0,1,0,
207,South Africa,South Africa,RSA,,Africa,1,0,1,0,
208,South Ossetia,South Ossetia,SOS,,Europe,0,0,0,0,
209,South Sudan,South Sudan,SSD,,Africa,1,0,1,0,
210,Spain,Spain,ESP,,Europe,1,0,1,0,
211,Sri Lanka,Sri Lanka,SRL,,Asia,1,0,1,0,
212,Sudan,Sudan,SUD,,Africa,1,0,1,0,
213,Suriname,Suriname,SUR,,North America,1,0,1,0,
214,Sweden,Sweden,SWE,,Europe,1,0,1,0,
215,Switzerland,Switzerland,SUI,,Europe,1,0,1,0,
216,Syria,Syria,SYR,,Asia,1,0,1,0,
217,French Polynesia,Tahiti,TAH,,Oceania,1,0,1,0,
218,Taiwan,Chinese Taipei,TPE,,Asia,1,0,1,0,
219,Tajikistan,Tajikistan,TJK,,Asia,1,0,1,0,
220,Tanzania,Tanzania,TAN,,Africa,1,0,1,0,
221,Thailand,Thailand,THA,,Asia,1,0,1,0,
222,Timor Leste,Timor Leste,TLS,,Asia,1,0,1,0,
223,Togo,Togo,TOG,,Africa,1,0,1,0,
224,Tokelau,Tokelau,TOK,,Oceania,0,0,0,0,
225,Tonga,Tonga,TON,,Oceania,1,0,1,0,
226,Transnistria,Transnistria,TRN,,Europe,0,0,0,0,
227,Trinidad and Tobago,Trinidad and Tobago,TRI,,North America,1,0,1,0,
228,Tunisia,Tunisia,TUN,,Africa,1,0,1,0,
229,Turkey,Turkey,TUR,,Europe,1,0,1,0,
230,Turkmenistan,Turkmenistan,TKM,,Asia,1,0,1,0,
231,Turks and Caicos Islands,Turks and Caicos Is.,TCI,,North America,1,0,1,0,
232,Tuvalu,Tuvalu,TUV,,Oceania,1,0,1,0,
233,US Virgin Islands,US Virgin Islands,ISV,,North America,1,0,1,0,
234,Uganda,Uganda,UGA,,Africa,1,0,1,0,
235,Ukraine,Ukraine,UKR,,Europe,1,0,1,0,
236,United Arab Emirates,United Arab Emirates,UAE,,Asia,1,0,1,0,
237,United States of America,United States,USA,,North America,1,0,1,0,
238,Uruguay,Uruguay,URU,,South America,1,0,1,0,
239,Uzbekistan,Uzbekistan,UZB,,Asia,1,0,1,0,
240,Vanuatu,Vanuatu,VAN,,Oceania,1,0,1,0,
241,Vatican City,Vatican City,VAT,,Europe,0,0,0,0,
242,Venezuela,Venezuela,VEN,,South America,1,0,1,0,
243,Vietnam,Vietnam,VIE,,Asia,1,0,1,0,
244,Wales,Wales,WAL,,Europe,1,0,1,0,
245,Wallis and Futuna,Wallis and Futuna,WAF,,Oceania,0,0,0,0,
246,Western Sahara,Western Sahara,WSA,,Africa,0,0,0,0,
247,Yemen,Yemen,YEM,,Asia,1,0,1,0,
248,Zambia,Zambia,ZAM,,Africa,1,0,1,0,
249,Zanzibar,Zanzibar,ZAN,,Africa,0,0,0,0,
250,Zimbabwe,Zimbabwe,ZIM,,Africa,1,0,1,0,
251,Czechoslovakia,Czechoslovakia,TCH,,Europe,1,1,0,0,
252,Federal Republic of Germany,West Germany,FRG,,Europe,0,1,0,0,
253,German Democratic Republic,East Germany,GDR,,Europe,1,1,0,0,
254,Netherlands Antilles,Netherlands Antilles,AHO,,North America,1,1,0,0,
255,Saar Protectorate,Saar,SAA,,Europe,1,1,0,0,
256,Union of Soviet Socialist Republics,USSR,URS,,Europe,1,1,0,0,
257,Democratic Republic of Vietnam,North Vietnam,NVI,,Asia,0,1,0,0,
258,Republic of Vietnam,South Vietnam,SVI,,Asia,0,1,0,0,
259,Yemen Arab Republic,North Yemen,YAR,,Asia,0,1,0,0,
260,People's Democratic Republic of Yemen,South Yemen,SYE,,Asia,0,1,0,0,
261,Yugoslavia,Yugoslavia,YUG,,Europe,1,1,0,0,
262,Bonaire,Bonaire,BON,,North America,1,0,1,0,
263,Bougainville,Bougainville,BOU,,Oceania,0,0,0,0,
264,No Country - Europe,N/A,EUR,,Europe,0,0,0,0,
265,No Country - South America,N/A,AMS,,South America,0,0,0,0,
